codice_istat,nome_comune,node_osm
23059,Peschiera del Garda,381914497
29035,Pettorazza Grimani,1498845967
28062,Piacenza d'Adige,1884267357
24077,Pianezze,1902480669
27028,Pianiga,12178641882
28063,Piazzola sul Brenta,440092228
26096,Pieve del Grappa,299662303
25039,Pieve di Cadore,1383103428
26057,Pieve di Soligo,1274766902
29036,Pincara,2246131641
28064,Piombino Dese,1811108688
28065,Piove di Sacco,1583103147
24078,Piovene Rocchette,489328134
24079,Pojana Maggiore,1426126235
29037,Polesella,1811089805
28066,Polverara,1036250925
28067,Ponso,4079033803
28069,Ponte San NicolÃ²,1608985556
26058,Ponte di Piave,10573077611
25040,Ponte nelle Alpi,5673628331
29038,Pontecchio Polesine,10154671541
28068,Pontelongo,1456258395
26059,Ponzano Veneto,1487553084
29039,Porto Tolle,1180418849
29052,Porto Viro,1375634893
26060,PortobuffolÃ¨,1806345333
27029,Portogruaro,4948905958
24080,Posina,1488927940
26061,Possagno,1697806422
24081,Pove del Grappa,1460327826
26062,Povegliano,922991335
23060,Povegliano Veronese,577522809
24082,Pozzoleone,308387269
28070,Pozzonovo,629555837
27030,Pramaggiore,2039732083
26063,Preganziol,344714475
23061,Pressana,3012260945
27031,Quarto d'Altino,360931426
24083,Quinto Vicentino,1933433818
26064,Quinto di Treviso,6779994545
24084,Recoaro Terme,879646411
26065,Refrontolo,1455021077
26066,Resana,2502800312
26067,Revine Lago,1432906709
26068,Riese Pio X,13142660083
25043,Rivamonte Agordino,1332412151
23062,Rivoli Veronese,261617111
24085,Roana,1727556248
25044,Rocca Pietore,2611213743
24086,Romano d'Ezzelino,1426449657
26069,Roncade,8266609978
23064,Ronco all'Adige,11234063805
23063,RoncÃ ,1825113621
29040,Rosolina,1485710450
24088,Rossano Veneto,308942859
24087,RosÃ ,306288877
24089,Rotzo,4227734017
23065,Roverchiara,1229988980
23066,Roveredo di GuÃ ,3660071362
23067,RoverÃ¨ Veronese,1323372162
29041,Rovigo,257339086
28071,Rovolon,1640924832
28072,Rubano,1531012783
28073,Saccolongo,4103304721
29042,Salara,1861350903
24090,Salcedo,476566688
26070,Salgareda,5169496374
23068,Salizzole,12782092337
27032,Salzano,13520617194
29043,San Bellino,260237837
26071,San Biagio di Callalta,9357788139
23069,San Bonifacio,3184127882
27033,San DonÃ  di Piave,4755039034
26072,San Fior,1806155636
28075,San Giorgio delle Pertiche,851138597
28076,San Giorgio in Bosco,1569799703
23070,San Giovanni Ilarione,1829539290
23071,San Giovanni Lupatoto,689198346
25045,San Gregorio nelle Alpi,8903685281
23073,San Martino Buon Albergo,1211237347
28077,San Martino di Lupari,2940508486
29044,San Martino di Venezze,10763588412
23074,San Mauro di Saline,2666879751
27034,San Michele al Tagliamento,282450383
25046,San NicolÃ² di Comelico,1451773900
24094,San Pietro Mussolino,1434922299
28079,San Pietro Viminario,974266885
25047,San Pietro di Cadore,2358704245
26073,San Pietro di Feletto,11869379532
23075,San Pietro di Morubio,6446987489
23076,San Pietro in Cariano,1474685125
28078,San Pietro in Gu,343810750
26074,San Polo di Piave,329004870
27036,San Stino di Livenza,1431402503
25049,San Tomaso Agordino,2674910914
26076,San Vendemiano,4675288257
25051,San Vito di Cadore,454231842
24096,San Vito di Leguzzano,2978185927
23079,San Zeno di Montagna,171030201
26077,San Zenone degli Ezzelini,1395407790
24091,Sandrigo,343297480
23072,Sanguinetto,6390524860
23077,Sant'Ambrogio di Valpolicella,1343379026
28082,Sant'Angelo di Piove di Sacco,13673897415
23078,Sant'Anna d'Alfaedo,409705793
28083,Sant'Elena,1215464339
28084,Sant'Urbano,261714830
28108,Santa Caterina d'Este,1885017985
25048,Santa Giustina,2495205520
28080,Santa Giustina in Colle,6389140823
26075,Santa Lucia di Piave,390265105
27035,Santa Maria di Sala,2764086161
25050,Santo Stefano di Cadore,452524500
24095,Santorso,425689349
28085,Saonara,344466688
24097,Sarcedo,391527476
24098,Sarego,1436769762
26078,Sarmede,1845048032
24099,Schiavon,10304952730
24100,Schio,343353139
27037,ScorzÃ¨,10848516393
25053,Sedico,2179163864
26079,Segusino,1462693873
25054,Selva di Cadore,915747216
23080,Selva di Progno,6116204501
28086,Selvazzano Dentro,1283067998
25055,Seren del Grappa,1345884792
26080,Sernaglia della Battaglia,1690659067
25075,Setteville,697020309
26081,Silea,1447850720
23081,Soave,8418296721
24101,Solagna,1793089222
28087,Solesino,1561687026
23082,Sommacampagna,293098216
23083,Sona,1838916423
23084,SorgÃ ,1201379553
25056,Sospirolo,803789533
24102,Sossano,1693148971
25057,Soverzene,1270579422
24128,Sovizzo,1555502982
25058,Sovramonte,1626036612
27038,Spinea,595258018
26082,Spresiano,1483675858
28088,Stanghella,1255642197
29045,Stienta,2182951247
27039,Stra,1831123371
26083,Susegana,6812865601
29046,Taglio di Po,1184558012
25059,Taibon Agordino,2611672999
25060,Tambre,812046418
26084,Tarzo,847004523
27040,Teglio Veneto,12012820861
28089,Teolo,1540725919
28090,Terrassa Padovana,11220978498
23085,Terrazzo,1517912682
24104,Tezze sul Brenta,309643452
24105,Thiene,4754979206
28091,Tombolo,9918474913
24106,Tonezza del Cimone,778198896
27041,Torre di Mosto,1968393881
24107,Torrebelvicino,432832952
28092,Torreglia,591856354
23086,Torri del Benaco,2278110235
24108,Torri di Quartesolo,3013309011
28093,Trebaseleghe,407090662
29047,Trecenta,4006756622
23087,Tregnago,5315498511
23088,Trevenzuolo,359973499
26085,Trevignano,1168129835
26086,Treviso,304196489
28094,Tribano,8542155524
24110,Trissino,2268168131
28095,Urbana,1571575725
24123,Val Liona,13474969267
25073,Val di Zoldo,4929494366
24125,Valbrenta,306270535
24111,Valdagno,880518249
24112,Valdastico,982600492
26087,Valdobbiadene,1135821358
23089,Valeggio sul Mincio,1266609371
25062,Vallada Agordina,1360611918
25063,Valle di Cadore,2547150040
24113,Valli del Pasubio,262348642
26088,Vazzola,2420738776
26089,Vedelago,9770016141
28096,Veggiano,5304608987
23090,Velo Veronese,2319430652
24115,Velo d'Astico,1984208800
27042,Venezia,3327462412
23091,Verona,278700683
23092,Veronella,4008421326
28097,Vescovana,1255640331
23093,Vestenanova,2731342481
24116,Vicenza,533711736
26090,Vidor,1434210161
23094,Vigasio,2002567960
25065,Vigo di Cadore,5075758186
28099,Vigodarzere,1255983531
27043,Vigonovo,338458901
28100,Vigonza,9903615494
23095,Villa Bartolomea,1237297206
28102,Villa Estense,433211026
28101,Villa del Conte,473541246
29048,Villadose,10606214531
28103,Villafranca Padovana,2770597402
23096,Villafranca di Verona,1856100020
24117,Villaga,287331704
29049,Villamarzana,260030699
29051,Villanova Marchesana,10783959464
29050,Villanova del Ghebbo,659984917
28104,Villanova di Camposampiero,6456755492
24118,Villaverla,5274049158
26091,Villorba,4922855708
26092,Vittorio Veneto,1431701132
28105,Vo',562880244
25066,Vodo Cadore,3016084465
26093,Volpago del Montello,996496752
25067,Voltago Agordino,2091065049
24119,ZanÃ¨,304638799
26094,Zenson di Piave,8789219279
24120,Zermeghedo,309130708
26095,Zero Branco,255319107
23097,Zevio,11635450656
23098,Zimella,1619465703
25069,ZoppÃ¨ di Cadore,2654484418
24121,Zovencedo,4119495048
24122,Zugliano,1183106669
