codice_istat,nome_comune,lat,lon
24038,Dueville,45.62572518018845,11.55853481942042
24039,Enego,45.929161041020336,11.684680776885497
27013,Eraclea,45.59291644013269,12.695163866633035
23033,Erbezzo,45.661959069337286,10.996737044923453
23032,ErbÃ¨,45.24062146136431,10.965043004170878
28037,Este,45.219699535112554,11.659564093689115
25019,Falcade,46.358632471422254,11.83359763674407
24040,Fara Vicentino,45.734015870489486,11.579943366381091
26026,Farra di Soligo,45.90331299231652,12.118392215532683
25021,Feltre,46.04572364110056,11.935047317850858
23034,Ferrara di Monte Baldo,45.68239223760043,10.846623154799442
29021,Ficarolo,44.955811002242925,11.444844567941928
29022,Fiesso Umbertiano,44.96352855696851,11.607786927838811
27014,Fiesso d'Artico,45.42257669042167,12.037021455345572
26027,Follina,45.96222576967959,12.12187861040804
26028,Fontanelle,45.82508827830013,12.451051575444017
28038,Fontaniva,45.62767342898808,11.753378644470807
26029,Fonte,45.784977060942396,11.874097065283292
25022,Fonzaso,45.997255003063486,11.800858535868057
27015,Fossalta di Piave,45.646226949132114,12.506580565578144
27016,Fossalta di Portogruaro,45.77860298734635,12.912560902219385
27017,FossÃ²,45.378418024478705,12.04750639727415
24041,Foza,45.90463798185188,11.63169602796016
29023,Frassinelle Polesine,44.98106029052863,11.69246496435069
29024,Fratta Polesine,45.02339108340185,11.642011668595929
26030,Fregona,46.028412237255885,12.369261255208619
23035,Fumane,45.58143139278279,10.883940198480214
26031,Gaiarine,45.89114244103455,12.495495980651365
29025,Gaiba,44.95763711871803,11.481078565528165
28039,Galliera Veneta,45.669953177960934,11.823347446259167
24042,Gallio,45.90629017912232,11.561207322047803
28040,Galzignano Terme,45.30085924776541,11.730501490248235
24043,Gambellara,45.44924009578873,11.341110757710512
23036,Garda,45.57929194885711,10.684837051494497
29026,Gavello,45.02559669014328,11.941201275097086
28041,Gazzo,45.56684216104069,11.696904827924524
23037,Gazzo Veronese,45.13306591234219,11.099915167893052
29027,Giacciano con Baruchella,45.067793248761944,11.449489126129453
26032,Giavera del Montello,45.80296870286573,12.164792284005006
26033,Godega di Sant'Urbano,45.90780239554643,12.415632823817132
26034,Gorgo al Monticano,45.78374504301604,12.55761739842512
25025,Gosaldo,46.207966556247484,11.959294108499419
28042,Grantorto,45.60135494107612,11.73359709288532
28043,Granze,45.15449815418409,11.724524735549435
23038,Grezzana,45.56182960305629,10.99351484225553
24046,Grisignano di Zocco,45.48024952070796,11.702104741361344
27018,Gruaro,45.819798225572754,12.833535586819869
24047,Grumolo delle Abbadesse,45.51048305971359,11.664082433125674
29028,Guarda Veneta,44.97998098626293,11.803059185959562
23039,Illasi,45.47148077274349,11.176384956177872
23041,Isola Rizza,45.2766560000699,11.191091501093602
24048,Isola Vicentina,45.619169181096154,11.44721045649744
23040,Isola della Scala,45.27579714900149,11.029214261608141
26035,Istrana,45.680415046600025,12.094314483686222
27019,Jesolo,45.53304922746805,12.659016629110326
25027,La Valle Agordina,46.2865233745729,12.099377776859166
24049,Laghi,45.839196144127214,11.247386623188197
25026,Lamon,46.06002396124001,11.73035384743743
24050,Lastebasse,45.89568653411312,11.288914115642282
23042,Lavagno,45.438270922959916,11.132636801401484
23043,Lazise,45.47903549867073,10.708787232647788
23044,Legnago,45.15557710363361,11.29869933725246
